c_keyword,category,ar,ur,fa,prs,haz,sd,pa_sh,skr,bal,brh,hnd,ks,khw,scl,bft,wbl,ku_sor,ku_kmr_pa,ota,ug,ha_aj,sw_aj,wo_aj,ff_aj,mnk_aj,jrb,jpr,tg_pa,lrc,mzn,glk,tat,syr_gar,ms_jawi,azb,kk_arab,ky_arab,tk_arab,so_arab,kr_arab,rhg
auto,storage,تلقائي,خودکار,خودکار,خودکار,خودکار,خودڪار,خودکار,خودڪار,خودکار,خودکار,خودکار,خودکار,خودکار,خودکار,خودکار,خۆکار,خۆکار,خودکار,ئاپتوماتىك,تلقائي,تلقائي,تلقائي,تلقائي,خودکار,خودکار,تلقائي,تلقائي,خودکار,خودکار,خودکار,خودکار,خودکار,خودکار,اوتوماتيك,خودکار,ئاپتوماتىك,ئاپتوماتىك,ئاپتوماتىك,isku,isku,အလိုအလျောက်
break,control,اكسر,توڑو,شکن,شکن,شکن,ٽوڙ,توڑو,ٽوڙ,شکن,شکن,توڑو,توڑو,توڑو,توڑو,توڑو,بشکێنە,بشکێنە,شکستن,توختا,اكسر,اكسر,اكسر,اكسر,شکن,شکن,اكسر,اكسر,شکن,شکن,شکن,شکن,شکن,شکن,ڤوتس,سندىر,ۇزۇش,ۇزۇش,ۈزىش,جبي,كسر,ဖျက်
case,control,حالة,کیس,مورد,مورد,مورد,حالت,کیس,حالت,مورد,مورد,کیس,کیس,کیس,کیس,کیس,بابەت,بابەت,مورد,ھالەت,حالة,حالة,حالة,حالة,مورد,مورد,حالة,حالة,مورد,مورد,مورد,مورد,مورد,مورد,كس,حالت,حالەت,حالەت,حالەت,حال,حال,ကိစ္စ
char,type,حرف,حرف,کاراکتر,کاراکتر,کاراکتر,اکر,حرف,اکر,کاراکتر,کاراکتر,حرف,حرف,حرف,حرف,حرف,پیت,پیت,کاراکتر,ھەرپ,حرف,حرف,حرف,حرف,کاراکتر,کاراکتر,حرف,حرف,کاراکتر,کاراکتر,کاراکتر,کاراکتر,کاراکتر,کاراکتر,چار,کاراکتر,ھەرپ,ھەرپ,ھەرپ,حرف,حرف,အက္ခရာ
const,qualifier,ثابت,مستقل,ثابت,ثابت,ثابت,مستقل,مستقل,مستقل,ثابت,ثابت,مستقل,مستقل,مستقل,مستقل,مستقل,جێگیر,جێگیر,ثابت,مۇقىم,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,كونستن,ثابت,مۇقىم,مۇقىم,مۇقىم,ثابت,ثابت,အမြဲ
continue,control,تابع,جاری_رکھو,ادامه,ادامه,ادامه,جاري,جاری_رکھو,جاري,ادامه,ادامه,جاری_رکھو,جاری_رکھو,جاری_رکھو,جاری_رکھو,جاری_رکھو,بەردەوام,بەردەوام,ادامه,داۋاملاشتۇر,تابع,تابع,تابع,تابع,ادامه,ادامه,تابع,تابع,ادامه,ادامه,ادامه,ادامه,ادامه,ادامه,ترسكن,ادامه,داۋام,داۋام,داۋام,داۋام,داوام,ဆက်
default,control,افتراضي,طےشدہ,پیشفرض,پیشفرض,پیشفرض,ڊي فالٽ,طےشدہ,ڊي فالٽ,پیشفرض,پیشفرض,طےشدہ,طےشدہ,طےشدہ,طےشدہ,طےشدہ,بنچینه,بنچینه,پیشفرض,سۈكۈت,افتراضي,افتراضي,افتراضي,افتراضي,پیشفرض,پیشفرض,افتراضي,افتراضي,پیشفرض,پیشفرض,پیشفرض,پیشفرض,پیشفرض,پیشفرض,ڤورا,پيشفرض,سۈكۈت,سۈكۈت,سۈكۈت,افتراضي,افتراضي,မူလ
do,loop,افعل,كرو,انجام_ده,انجام_ده,انجام_ده,ڪر,كرو,ڪر,انجام_ده,انجام_ده,كرو,كرو,كرو,كرو,كرو,بکە,بکە,کن,قىل,افعل,افعل,افعل,افعل,کن,کن,افعل,افعل,کن,کن,کن,کن,کن,کن,لکوقن,کن,قىل,قىل,قىل,افعل,افعل,လုပ်
double,type,مزدوج,دوگنا,دوگانه,دوگانه,دوگانه,ڊبل,دوگنا,ڊبل,دوگانه,دوگانه,دوگنا,دوگنا,دوگنا,دوگنا,دوگنا,دوگانه,دوگانه,دوگانه,قوش,مزدوج,مزدوج,مزدوج,مزدوج,دوگانه,دوگانه,مزدوج,مزدوج,دوگانه,دوگانه,دوگانه,دوگانه,دوگانه,دوگانه,دبل,دوگانه,قوش,قوش,قوش,مزدوج,مزدوج,နှစ်ဆ
else,control,وإلا,ورنہ,وگرنه,وگرنه,وگرنه,ٻيئي,ورنہ,ٻيئي,وگرنه,وگرنه,ورنہ,ورنہ,ورنہ,ورنہ,ورنہ,ئەگەر_نە,ئەگەر_نە,وگرنه,بولمىسا,وإلا,وإلا,وإلا,وإلا,وگرنه,وگرنه,وإلا,وإلا,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,اݢرنه,وگرنه,بولمىسا,بولمىسا,بولمىسا,وإلا,وإلا,မဟုတ်ရင်
enum,type,تعداد,گنتی,برشمار,برشمار,برشمار,ڳڻپ,گنتی,ڳڻپ,برشمار,برشمار,گنتی,گنتی,گنتی,گنتی,گنتی,ژمارە,ژمارە,برشمار,ساناق,تعداد,تعداد,تعداد,تعداد,مەن,مەن,تعداد,تعداد,برشمار,برشمار,برشمار,برشمار,برشمار,برشمار,اينم,برشمار,ساناق,ساناق,ساناق,تعداد,تعداد,စာရင်း
extern,storage,خارجي,بیرونی,خارجی,خارجی,خارجی,ٻاهريون,بیرونی,ٻاهريون,خارجی,خارجی,بیرونی,بیرونی,بیرونی,بیرونی,بیرونی,دەرەوەیی,دەرەوەیی,خارجی,سىرتقى,خارجي,خارجي,خارجي,خارجي,خارجی,خارجی,خارجي,خارجي,خارجی,خارجی,خارجی,خارجی,خارجی,خارجی,ايكسترن,خارجی,سىرتقى,سىرتقى,سىرتقى,خارجي,خارجي,ပြင်ပ
float,type,عائم,اعشاری,شناور,شناور,شناور,فلوٽ,اعشاری,فلوٽ,شناور,شناور,اعشاری,اعشاری,اعشاری,اعشاری,اعشاری,شناور,شناور,شناور,يۈزۈلگۈچ,عائم,عائم,عائم,عائم,شناور,شناور,عائم,عائم,شناور,شناور,شناور,شناور,شناور,شناور,فلوات,شناور,يۈزۈلگۈچ,يۈزۈلگۈچ,يۈزۈلگۈچ,عائم,عائم,အလွှာ
for,loop,لـ,کے_ليے,برای,برای,برای,لاء,کے_ليے,لاء,برای,برای,کے_ليے,کے_ليے,کے_ليے,کے_ليے,کے_ليے,بۆ,بۆ,برای,ئۈچۈن,لـ,لـ,لـ,لـ,برای,برای,لـ,لـ,برای,برای,برای,برای,برای,برای,اونتوق,برای,ئۈچۈن,ئۈچۈن,ئۈچۈن,لـ,لـ,အတွက်
goto,control,اذهب_إلى,جاؤ,برو_به,برو_به,برو_به,وڃو,جاؤ,وڃو,برو_به,برو_به,جاؤ,جاؤ,جاؤ,جاؤ,جاؤ,بڕۆ,بڕۆ,برو_به,بېرىش,اذهب_إلى,اذهب_إلى,اذهب_إلى,اذهب_إلى,برو,برو,اذهب_إلى,اذهب_إلى,برو_به,برو_به,برو_به,برو_به,برو_به,برو_به,ڬوتو,برو_به,بېرىش,بېرىش,بېرىش,اذهب_إلى,اذهب_إلى,သွား
if,control,إذا,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,ئەگەر,ئەگەر,اگر,ئەگەر,إذا,إذا,إذا,إذا,اگر,اگر,إذا,إذا,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,ئەگەر,ئەگەر,ئەگەر,إذا,إذا,အကယ်၍
inline,qualifier,ضمني,اندرونی,درون‌خطی,درون‌خطی,درون‌خطی,اندروني,اندرونی,اندروني,درون‌خطی,درون‌خطی,اندرونی,اندرونی,اندرونی,اندرونی,اندرونی,ناوخۆیی,ناوخۆیی,درون‌خطی,ئىچكى,ضمني,ضمني,ضمني,ضمني,درون‌خطی,درون‌خطی,ضمني,ضمني,درون‌خطی,درون‌خطی,درون‌خطی,درون‌خطی,درون‌خطی,درون‌خطی,اينلاين,درون‌خطی,ئىچكى,ئىچكى,ئىچكى,ضمني,ضمني,အတွင်း
int,type,عدد_صحيح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,صحیح,عدد_صحیح,صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,تەمام,تەمام,عدد_صحیح,پۈتۈن,عدد_صحيح,عدد_صحيح,عدد_صحيح,عدد_صحيح,عدد_صحیح,عدد_صحیح,عدد_صحيح,عدد_صحيح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,اينت,عدد_صحیح,پۈتۈن,پۈتۈن,پۈتۈن,عدد_صحيح,عدد_صحيح,အပြည့်
long,type,طويل,طویل,طولانی,طولانی,طولانی,ڊگهو,طویل,ڊگهو,طولانی,طولانی,طویل,طویل,طویل,طویل,طویل,درێژ,درێژ,طولانی,ئۇزۇن,طويل,طويل,طويل,طويل,طولانی,طولانی,طويل,طويل,طولانی,طولانی,طولانی,طولانی,طولانی,طولانی,لانگ,طولانی,ئۇزۇن,ئۇزۇن,ئۇزۇن,طويل,طويل,ရှည်
register,storage,مسجل,رجسٹر,ثبات,ثبات,ثبات,رجسٽر,رجسٹر,رجسٽر,ثبات,ثبات,رجسٹر,رجسٹر,رجسٹر,رجسٹر,رجسٹر,تۆمار,تۆمار,ثبات,تىزىم,مسجل,مسجل,مسجل,مسجل,ثبات,ثبات,مسجل,مسجل,ثبات,ثبات,ثبات,ثبات,ثبات,ثبات,رجستر,ثبات,تىزىم,تىزىم,تىزىم,مسجل,مسجل,မှတ်ပုံတင်
return,control,ارجع,واپس_کرو,برگردان,برگردان,برگردان,موٽايو,واپس_کرو,موٽايو,برگردان,برگردان,واپس_کرو,واپس_کرو,واپس_کرو,واپس_کرو,واپس_کرو,بگەڕێنەوە,بگەڕێنەوە,بازگردان,قايتۇر,ارجع,ارجع,ارجع,ارجع,برگردان,برگردان,ارجع,ارجع,برگردان,برگردان,برگردان,برگردان,برگردان,برگردان,كembali,برگردان,قايتۇر,قايتۇر,قايتۇر,ارجع,ارجع,ပြန်
short,type,قصير,چھوٹا,کوتاه,کوتاه,کوتاه,ننڍو,چھوٹا,ننڍو,کوتاه,کوتاه,چھوٹا,چھوٹا,چھوٹا,چھوٹا,چھوٹا,کورت,کورت,کوتاه,قىسقا,قصير,قصير,قصير,قصير,کوتاه,کوتاه,قصير,قصير,کوتاه,کوتاه,کوتاه,کوتاه,کوتاه,کوتاه,شورت,کوتاه,قىسقا,قىسقا,قىسقا,قصير,قصير,တို
signed,qualifier,موقع,دستخطی,علامت‌دار,علامت‌دار,علامت‌دار,سائنڊ,دستخطی,سائنڊ,علامت‌دار,علامت‌دار,دستخطی,دستخطی,دستخطی,دستخطی,دستخطی,نیشان‌دار,نیشان‌دار,علامت‌دار,ئىمزالۇق,موقع,موقع,موقع,موقع,علامت‌دار,علامت‌دار,موقع,موقع,علامت‌دار,علامت‌دار,علامت‌دار,علامت‌دار,علامت‌دار,علامت‌دار,سايند,علامت‌دار,ئىمزالۇق,ئىمزالۇق,ئىمزالۇق,موقع,موقع,လက်မှတ်ပါ
sizeof,operator,حجم,سائز,اندازه,اندازه,اندازه,سائز,سائز,سائز,اندازه,اندازه,سائز,سائز,سائز,سائز,سائز,قەبارە,قەبارە,اندازه,چوڭلۇق,حجم,حجم,حجم,حجم,اندازه,اندازه,حجم,حجم,اندازه,اندازه,اندازه,اندازه,اندازه,اندازه,سايز,اندازه,چوڭلۇق,چوڭلۇق,چوڭلۇق,حجم,حجم,အရွယ်
static,storage,ثابت,جامد,ایستا,ایستا,ایستا,جامد,جامد,جامد,ایستا,ایستا,جامد,جامد,جامد,جامد,جامد,جێگیر,جێگیر,ایستا,مۇقىم,ثابت,ثابت,ثابت,ثابت,ایستا,ایستا,ثابت,ثابت,ایستا,ایستا,ایستا,ایستا,ایستا,ایستا,ستاتيك,ایستا,مۇقىم,مۇقىم,مۇقىم,ثابت,ثابت,အမြဲတမ်း
struct,type,هيكل,ساخت,ساختار,ساختار,ساختار,ساخت,ساخت,ساخت,ساختار,ساختار,ساخت,ساخت,ساخت,ساخت,ساخت,پێکهاتە,پێکهاتە,ساختار,قۇرۇلما,هيكل,هيكل,هيكل,هيكل,ساختار,ساختار,هيكل,هيكل,ساختار,ساختار,ساختار,ساختار,ساختار,ساختار,ستركت,ساختار,قۇرۇلما,قۇرۇلما,قۇرۇلما,هيكل,هيكل,ဖွဲ့စည်း
switch,control,تحويل,سوئچ,تغییر,تغییر,تغییر,مٽاسٽا,سوئچ,مٽاسٽا,تغییر,تغییر,سوئچ,سوئچ,سوئچ,سوئچ,سوئچ,گۆڕین,گۆڕین,تبدیل,ئالماشتۇرۇش,تحويل,تحويل,تحويل,تحويل,تغییر,تغییر,تحويل,تحويل,تغییر,تغییر,تغییر,تغییر,تغییر,تغییر,سوچ,تغییر,ئالماشتۇرۇش,ئالماشتۇرۇش,ئالماشتۇرۇش,تحويل,تحويل,ပြောင်း
typedef,type,تعريف_نوع,نوع_تعریف,تعریف_نوع,تعریف_نوع,تعریف_نوع,قسم_تعريف,نوع_تعریف,قسم_تعريف,تعریف_نوع,تعریف_نوع,نوع_تعریف,نوع_تعریف,نوع_تعریف,نوع_تعریف,نوع_تعریف,جۆر_ناسێن,جۆر_ناسێن,تعریف_نوع,تىپ_ئېنىقلاش,تعريف_نوع,تعريف_نوع,تعريف_نوع,تعريف_نوع,تعریف_نوع,تعریف_نوع,تعريف_نوع,تعريف_نوع,تعریف_نوع,تعریف_نوع,تعریف_نوع,تعریف_نوع,تعریف_نوع,تعریف_نوع,تايپديف,تعریف_نوع,تىپ_ئېنىقلاش,تىپ_ئېنىقلاش,تىپ_ئېنىقلاش,تعريف_نوع,تعريف_نوع,အမျိုးအစားသတ်မှတ်
union,type,اتحاد,یونین,اتحاد,اتحاد,اتحاد,يونين,یونین,يونين,اتحاد,اتحاد,یونین,یونین,یونین,یونین,یونین,یەکگرتن,یەکگرتن,اتحاد,بىرلەشمە,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,يونين,اتحاد,بىرلەشمە,بىرلەشمە,بىرلەشمە,اتحاد,اتحاد,ပေါင်းစည်း
unsigned,qualifier,غير_موقع,بے_دستخط,بی‌علامت,بی‌علامت,بی‌علامت,بغير_سائنڊ,بے_دستخط,بغير_سائنڊ,بی‌علامت,بی‌علامت,بے_دستخط,بے_دستخط,بے_دستخط,بے_دستخط,بے_دستخط,بێ‌نیشان,بێ‌نیشان,بی‌علامت,ئىمزاسىز,غير_موقع,غير_موقع,غير_موقع,غير_موقع,بی‌علامت,بی‌علامت,غير_موقع,غير_موقع,بی‌علامت,بی‌علامت,بی‌علامت,بی‌علامت,بی‌علامت,بی‌علامت,انسايند,بی‌علامت,ئىمزاسىز,ئىمزاسىز,ئىمزاسىز,غير_موقع,غير_موقع,လက်မှတ်မပါ
void,type,فارغ,خالی,تهی,تهی,تهی,خالي,خالی,خالي,تهی,تهی,خالی,خالی,خالی,خالی,خالی,بەتاڵ,بەتاڵ,تهی,بوش,فارغ,فارغ,فارغ,فارغ,تهی,تهی,فارغ,فارغ,تهی,تهی,تهی,تهی,تهی,تهی,ڤويد,تهی,بوش,بوش,بوش,فارغ,فارغ,အလွတ်
volatile,qualifier,متقلب,متغیر,ناپایدار,ناپایدار,ناپایدار,متغير,متغیر,متغير,ناپایدار,ناپایدار,متغیر,متغیر,متغیر,متغیر,متغیر,گۆڕاو,گۆڕاو,ناپایدار,ئۆزگىرىشچان,متقلب,متقلب,متقلب,متقلب,ناپایدار,ناپایدار,متقلب,متقلب,ناپایدار,ناپایدار,ناپایدار,ناپایدار,ناپایدار,ناپایدار,ڤولاتايل,ناپایدار,ئۆزگىرىشچان,ئۆزگىرىشچان,ئۆزگىرىشچان,متقلب,متقلب,မတည်ငြိမ်
while,loop,بينما,جب_تك,تا_زمانی_که,تا_زمانی_که,تا_زمانی_که,جيستائين,جب_تك,جيستائين,تا_زمانی_که,تا_زمانی_که,جب_تك,جب_تك,جب_تك,جب_تك,جب_تك,کاتێک,کاتێک,تا,قەدەر,بينما,بينما,بينما,بينما,تا,تا,بينما,بينما,تا,تا,تا,تا,تا,تا,سلمان,تا,قەدەر,قەدەر,قەدەر,بينما,بينما,အထိ
