cpp_keyword,category,ar,ur,fa,prs,haz,sd,pa_sh,skr,bal,brh,hnd,ks,khw,scl,bft,wbl,ku_sor,ku_kmr_pa,ota,ug,ha_aj,sw_aj,wo_aj,ff_aj,mnk_aj,jrb,jpr,tg_pa,lrc,mzn,glk,tat,syr_gar,ms_jawi,azb,kk_arab,ky_arab,tk_arab,so_arab,kr_arab,rhg
int,type,عدد_صحيح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,صحیح,عدد_صحیح,صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,تەمام,تەمام,عدد_صحیح,پۈتۈن,عدد_صحيح,عدد_صحيح,عدد_صحيح,عدد_صحيح,عدد_صحیح,عدد_صحیح,عدد_صحيح,عدد_صحيح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,اينت,عدد_صحیح,پۈتۈن,پۈتۈن,پۈتۈن,عدد_صحيح,عدد_صحيح,အပြည့်
long,type,طويل,طویل,طولانی,طولانی,طولانی,ڊگهو,طویل,ڊگهو,طولانی,طولانی,طویل,طویل,طویل,طویل,طویل,درێژ,درێژ,طولانی,ئۇزۇن,طويل,طويل,طويل,طويل,طولانی,طولانی,طويل,طويل,طولانی,طولانی,طولانی,طولانی,طولانی,طولانی,لانگ,طولانی,ئۇزۇن,ئۇزۇن,ئۇزۇن,طويل,طويل,ရှည်
mutable,qualifier,قابل_تغيير,قابل_تبدیل,قابل_تغییر,قابل_تغییر,قابل_تغییر,بدلجڻ_جوڳي,قابل_تبدیل,بدلجڻ_جوڳي,قابل_تغییر,قابل_تغییر,قابل_تبدیل,قابل_تبدیل,قابل_تبدیل,قابل_تبدیل,قابل_تبدیل,گۆڕاو,گۆڕاو,قابل_تغییر,ئۆزگىرىشچان,قابل_تغيير,قابل_تغيير,قابل_تغيير,قابل_تغيير,قابل_تغییر,قابل_تغییر,قابل_تغيير,قابل_تغيير,قابل_تغییر,قابل_تغییر,قابل_تغییر,قابل_تغییر,قابل_تغییر,قابل_تغییر,ميوټيبل,قابل_تغییر,ئۆزگىرىشچان,ئۆزگىرىشچان,ئۆزگىرىشچان,قابل_تغيير,قابل_تغيير,ပြောင်းလဲနိုင်
namespace,definition,نطاق,نام_فضا,فضای_نام,فضای_نام,فضای_نام,نيم_اسپيس,نام_فضا,نيم_اسپيس,فضای_نام,فضای_نام,نام_فضا,نام_فضا,نام_فضا,نام_فضا,نام_فضا,ناونیشان,ناونیشان,فضای_نام,نام_كېڭەش,نطاق,نطاق,نطاق,نطاق,فضای_نام,فضای_نام,نطاق,نطاق,فضای_نام,فضای_نام,فضای_نام,فضای_نام,فضای_نام,فضای_نام,نيمسپس,فضای_نام,نام_كېڭەش,نام_كېڭەش,نام_كېڭەش,نطاق,نطاق,နယ်ပယ်
new,operator,جديد,نیا,جدید,جدید,جدید,نئون,نیا,نئون,جدید,جدید,نیا,نیا,نیا,نیا,نیا,نوى,نوى,جدید,يېڭى,جديد,جديد,جديد,جديد,جدید,جدید,جديد,جديد,جدید,جدید,جدید,جدید,جدید,جدید,نيو,جدید,يېڭى,يېڭى,يېڭى,جديد,جديد,အသစ်
noexcept,qualifier,لا_استثناء,بلا_استثنا,بی_استثناء,بی_استثناء,بی_استثناء,بغير_استثناء,بلا_استثنا,بغير_استثناء,بی_استثناء,بی_استثناء,بلا_استثنا,بلا_استثنا,بلا_استثنا,بلا_استثنا,بلا_استثنا,بێ_هەڵە,بێ_هەڵە,بی_استثناء,مۇستەسناسىز,لا_استثناء,لا_استثناء,لا_استثناء,لا_استثناء,بی_استثناء,بی_استثناء,لا_استثناء,لا_استثناء,بی_استثناء,بی_استثناء,بی_استثناء,بی_استثناء,بی_استثناء,بی_استثناء,نوإكسبت,بی_استثناء,مۇستەسناسىز,مۇستەسناسىز,مۇستەسناسىز,لا_استثناء,لا_استثناء,မဖြစ်နိုင်
nullptr,literal,فارغ,خالی,تهی,تهی,تهی,خالي,خالی,خالي,تهی,تهی,خالی,خالی,خالی,خالی,خالی,بەتاڵ,بەتاڵ,تهی,بوش,فارغ,فارغ,فارغ,فارغ,تهی,تهی,فارغ,فارغ,تهی,تهی,تهی,تهی,تهی,تهی,نل_پوائنٽر,تهی,بوش,بوش,بوش,فارغ,فارغ,အလွတ်
operator,definition,مشغل,عامل,عملگر,عملگر,عملگر,آپريٽر,عامل,آپريٽر,عملگر,عملگر,عامل,عامل,عامل,عامل,عامل,ئامراز,ئامراز,عملگر,ئامالچى,مشغل,مشغل,مشغل,مشغل,عملگر,عملگر,مشغل,مشغل,عملگر,عملگر,عملگر,عملگر,عملگر,عملگر,اوپريٽر,عملگر,ئامالچى,ئامالچى,ئامالچى,مشغل,مشغل,အော်ပရေတာ
or,operator,أو,یا,یا,یا,یا,يا,یا,يا,یا,یا,یا,یا,یا,یا,یا,یان,یان,یا,ياكى,أو,أو,أو,أو,یا,یا,أو,أو,یا,یا,یا,یا,یا,یا,اور,یا,ياكى,ياكى,ياكى,أو,أو,သို့
or_eq,operator,أو_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,يا_برابر,یا_برابر,يا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یان_یەکسان,یان_یەکسان,یا_برابر,ياكى_تەڭ,أو_برابر,أو_برابر,أو_برابر,أو_برابر,یا_برابر,یا_برابر,أو_برابر,أو_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,اور_ايكول,یا_برابر,ياكى_تەڭ,ياكى_تەڭ,ياكى_تەڭ,أو_برابر,أو_برابر,သို့_တူ
private,access,خاص,ذاتی,خصوصی,خصوصی,خصوصی,نجي,ذاتی,نجي,خصوصی,خصوصی,ذاتی,ذاتی,ذاتی,ذاتی,ذاتی,تایبەتی,تایبەتی,خصوصی,خاس,خاص,خاص,خاص,خاص,خصوصی,خصوصی,خاص,خاص,خصوصی,خصوصی,خصوصی,خصوصی,خصوصی,خصوصی,پرائيويٽ,خصوصی,خاس,خاس,خاس,خاص,خاص,ကိုယ်ပိုင်
protected,access,محمي,محفوظ,محافظت_شده,محافظت_شده,محافظت_شده,محفوظ,محفوظ,محفوظ,محافظت_شده,محافظت_شده,محفوظ,محفوظ,محفوظ,محفوظ,محفوظ,پارێزراو,پارێزراو,محافظت_شده,قوغدىلغان,محمي,محمي,محمي,محمي,محافظت_شده,محافظت_شده,محمي,محمي,محافظت_شده,محافظت_شده,محافظت_شده,محافظت_شده,محافظت_شده,محافظت_شده,پروٽيڪټڊ,محافظت_شده,قوغدىلغان,قوغدىلغان,قوغدىلغان,محمي,محمي,ကာကွယ်
public,access,عام,عوامی,عمومی,عمومی,عمومی,عام,عوامی,عام,عمومی,عمومی,عوامی,عوامی,عوامی,عوامی,عوامی,گشتی,گشتی,عمومی,ئاشكارا,عام,عام,عام,عام,عمومی,عمومی,عام,عام,عمومی,عمومی,عمومی,عمومی,عمومی,عمومی,پبلڪ,عمومی,ئاشكارا,ئاشكارا,ئاشكارا,عام,عام,အများ
reinterpret_cast,operator,إعادة_تفسير,دوبارہ_تشریح,تفسیر_مجدد,تفسیر_مجدد,تفسیر_مجدد,نئون_تشريح,دوبارہ_تشریح,نئون_تشريح,تفسیر_مجدد,تفسیر_مجدد,دوبارہ_تشریح,دوبارہ_تشریح,دوبارہ_تشریح,دوبارہ_تشریح,دوبارہ_تشریح,دوبارە_وەسف,دوبارە_وەسف,تفسیر_مجدد,قايتا_چۈشەندۈرۈش,إعادة_تفسير,إعادة_تفسير,إعادة_تفسير,إعادة_تفسير,تفسیر_مجدد,تفسیر_مجدد,إعادة_تفسير,إعادة_تفسير,تفسیر_مجدد,تفسیر_مجدد,تفسیر_مجدد,تفسیر_مجدد,تفسیر_مجدد,تفسیر_مجدد,ريانتيرپريت_كاست,تفسیر_مجدد,قايتا_چۈشەندۈرۈش,قايتا_چۈشەندۈرۈش,قايتا_چۈشەندۈرۈش,إعادة_تفسير,إعادة_تفسير,ပြန်ဖော်ပြ
return,control,ارجع,واپس_کرو,برگردان,برگردان,برگردان,موٽايو,واپس_کرو,موٽايو,برگردان,برگردان,واپس_کرو,واپس_کرو,واپس_کرو,واپس_کرو,واپس_کرو,بگەڕێنەوە,بگەڕێنەوە,بازگردان,قايتۇر,ارجع,ارجع,ارجع,ارجع,برگردان,برگردان,ارجع,ارجع,برگردان,برگردان,برگردان,برگردان,برگردان,برگردان,كembali,برگردان,قايتۇر,قايتۇر,قايتۇر,ارجع,ارجع,ပြန်
short,type,قصير,چھوٹا,کوتاه,کوتاه,کوتاه,ننڍو,چھوٹا,ننڍو,کوتاه,کوتاه,چھوٹا,چھوٹا,چھوٹا,چھوٹا,چھوٹا,کورت,کورت,کوتاه,قىسقا,قصير,قصير,قصير,قصير,کوتاه,کوتاه,قصير,قصير,کوتاه,کوتاه,کوتاه,کوتاه,کوتاه,کوتاه,شورت,کوتاه,قىسقا,قىسقا,قىسقا,قصير,قصير,တို
signed,qualifier,موقع,دستخطی,علامت‌دار,علامت‌دار,علامت‌دار,سائنڊ,دستخطی,سائنڊ,علامت‌دار,علامت‌دار,دستخطی,دستخطی,دستخطی,دستخطی,دستخطی,نیشان‌دار,نیشان‌دار,علامت‌دار,ئىمزالۇق,موقع,موقع,موقع,موقع,علامت‌دار,علامت‌دار,موقع,موقع,علامت‌دار,علامت‌دار,علامت‌دار,علامت‌دار,علامت‌دار,علامت‌دار,سايند,علامت‌دار,ئىمزالۇق,ئىمزالۇق,ئىمزالۇق,موقع,موقع,လက်မှတ်ပါ
sizeof,operator,حجم,سائز,اندازه,اندازه,اندازه,سائز,سائز,سائز,اندازه,اندازه,سائز,سائز,سائز,سائز,سائز,قەبارە,قەبارە,اندازه,چوڭلۇق,حجم,حجم,حجم,حجم,اندازه,اندازه,حجم,حجم,اندازه,اندازه,اندازه,اندازه,اندازه,اندازه,سايز,اندازه,چوڭلۇق,چوڭلۇق,چوڭلۇق,حجم,حجم,အရွယ်
static,storage,ثابت,جامد,ایستا,ایستا,ایستا,جامد,جامد,جامد,ایستا,ایستا,جامد,جامد,جامد,جامد,جامد,جێگیر,جێگیر,ایستا,مۇقىم,ثابت,ثابت,ثابت,ثابت,ایستا,ایستا,ثابت,ثابت,ایستا,ایستا,ایستا,ایستا,ایستا,ایستا,ستاتيك,ایستا,مۇقىم,مۇقىم,مۇقىم,ثابت,ثابت,အမြဲတမ်း
static_assert,definition,تأكيد_ثابت,جامد_تصدیق,تأیید_ایستا,تأیید_ایستا,تأیید_ایستا,جامد_جاچ,جامد_تصدیق,جامد_جاچ,تأیید_ایستا,تأیید_ایستا,جامد_تصدیق,جامد_تصدیق,جامد_تصدیق,جامد_تصدیق,جامد_تصدیق,جێگیر_پشتڕاست,جێگیر_پشتڕاست,تأیید_ایستا,مۇقىم_تەكشۈرۈش,تأكيد_ثابت,تأكيد_ثابت,تأكيد_ثابت,تأكيد_ثابت,تأیید_ایستا,تأیید_ایستا,تأكيد_ثابت,تأكيد_ثابت,تأیید_ایستا,تأیید_ایستا,تأیید_ایستا,تأیید_ایستا,تأیید_ایستا,تأیید_ایستا,ستاتيك_اسيرت,تأیید_ایستا,مۇقىم_تەكشۈرۈش,مۇقىم_تەكشۈرۈش,مۇقىم_تەكشۈرۈش,تأكيد_ثابت,تأكيد_ثابت,တည်ငြိမ်_စစ်ဆေး
struct,definition,هيكل,ساخت,ساختار,ساختار,ساختار,ساخت,ساخت,ساخت,ساختار,ساختار,ساخت,ساخت,ساخت,ساخت,ساخت,پێکهاتە,پێکهاتە,ساختار,قۇرۇلما,هيكل,هيكل,هيكل,هيكل,ساختار,ساختار,هيكل,هيكل,ساختار,ساختار,ساختار,ساختار,ساختار,ساختار,ستركت,ساختار,قۇرۇلما,قۇرۇلما,قۇرۇلما,هيكل,هيكل,ဖွဲ့စည်း
switch,control,تحويل,سوئچ,تغییر,تغییر,تغییر,مٽاسٽا,سوئچ,مٽاسٽا,تغییر,تغییر,سوئچ,سوئچ,سوئچ,سوئچ,سوئچ,گۆڕین,گۆڕین,تبدیل,ئالماشتۇرۇش,تحويل,تحويل,تحويل,تحويل,تغییر,تغییر,تحويل,تحويل,تغییر,تغییر,تغییر,تغییر,تغییر,تغییر,سوچ,تغییر,ئالماشتۇرۇش,ئالماشتۇرۇش,ئالماشتۇرۇش,تحويل,تحويل,ပြောင်း
template,definition,قالب,سانچہ,قالب,قالب,قالب,سانچو,سانچہ,سانچو,قالب,قالب,سانچہ,سانچہ,سانچہ,سانچہ,سانچہ,قالب,قالب,قالب,قېلىپ,قالب,قالب,قالب,قالب,قالب,قالب,قالب,قالب,قالب,قالب,قالب,قالب,قالب,قالب,ٹيمپليٽ,قالب,قېلىپ,قېلىپ,قېلىپ,قالب,قالب,ပုံစံ
this,operator,هذا,یہ,این,این,این,هي,یہ,هي,این,این,یہ,یہ,یہ,یہ,یہ,ئەمە,ئەمە,این,بۇ,هذا,هذا,هذا,هذا,این,این,هذا,هذا,این,این,این,این,این,این,دس,این,بۇ,بۇ,بۇ,هذا,هذا,ဤ
thread_local,storage,محلي_خيط,تھریڈ_مقامی,محلی_ریسمان,محلی_ریسمان,محلی_ریسمان,ٿريڊ_لوڪل,تھریڈ_مقامی,ٿريڊ_لوڪل,محلی_ریسمان,محلی_ریسمان,تھریڈ_مقامی,تھریڈ_مقامی,تھریڈ_مقامی,تھریڈ_مقامی,تھریڈ_مقامی,خێتی_ناوخۆیی,خێتی_ناوخۆیی,محلی_ریسمان,يىپ_ئايلى,محلي_خيط,محلي_خيط,محلي_خيط,محلي_خيط,محلی_ریسمان,محلی_ریسمان,محلي_خيط,محلي_خيط,محلی_ریسمان,محلی_ریسمان,محلی_ریسمان,محلی_ریسمان,محلی_ریسمان,محلی_ریسمان,ٿريڊ_لوڪل,محلی_ریسمان,يىپ_ئايلى,يىپ_ئايلى,يىپ_ئايلى,محلي_خيط,محلي_خيط,ကြိုးအတွင်း
throw,exception,ارم,پھینکو,پرتاب,پرتاب,پرتاب,اڇلايو,پھینکو,اڇلايو,پرتاب,پرتاب,پھینکو,پھینکو,پھینکو,پھینکو,پھینکو,هاوڕێن,هاوڕێن,پرتاب,تاشلا,ارم,ارم,ارم,ارم,پرتاب,پرتاب,ارم,ارم,پرتاب,پرتاب,پرتاب,پرتاب,پرتاب,پرتاب,ٿرو,پرتاب,تاشلا,تاشلا,تاشلا,ارم,ارم,ပစ်
true,literal,صحيح,سچ,درست,درست,درست,سچ,سچ,سچ,درست,درست,سچ,سچ,سچ,سچ,سچ,ڕاست,ڕاست,درست,توغرا,صحيح,صحيح,صحيح,صحيح,درست,درست,صحيح,صحيح,درست,درست,درست,درست,درست,درست,ٹرو,درست,توغرا,توغرا,توغرا,صحيح,صحيح,မှန်
try,exception,حاول,کوشش,سعی,سعی,سعی,ڪوشش,کوشش,ڪوشش,سعی,سعی,کوشش,کوشش,کوشش,کوشش,کوشش,هەوڵ,هەوڵ,سعی,سىناش,حاول,حاول,حاول,حاول,سعی,سعی,حاول,حاول,سعی,سعی,سعی,سعی,سعی,سعی,ٽرائي,سعی,سىناش,سىناش,سىناش,حاول,حاول,ကြိုးစား
typedef,definition,تعريف_نوع,نوع_تعریف,تعریف_نوع,تعریف_نوع,تعریف_نوع,قسم_تعريف,نوع_تعریف,قسم_تعريف,تعریف_نوع,تعریف_نوع,نوع_تعریف,نوع_تعریف,نوع_تعریف,نوع_تعریف,نوع_تعریف,جۆر_ناسێن,جۆر_ناسێن,تعریف_نوع,تىپ_ئېنىقلاش,تعريف_نوع,تعريف_نوع,تعريف_نوع,تعريف_نوع,تعریف_نوع,تعریف_نوع,تعريف_نوع,تعريف_نوع,تعریف_نوع,تعریف_نوع,تعریف_نوع,تعریف_نوع,تعریف_نوع,تعریف_نوع,تايپديف,تعریف_نوع,تىپ_ئېنىقلاش,تىپ_ئېنىقلاش,تىپ_ئېنىقلاش,تعريف_نوع,تعريف_نوع,အမျိုးအစားသတ်မှတ်
typeid,operator,معرف_نوع,نوع_شناسه,شناسه_نوع,شناسه_نوع,شناسه_نوع,قسم_سڃاڻپ,نوع_شناسه,قسم_سڃاڻپ,شناسه_نوع,شناسه_نوع,نوع_شناسه,نوع_شناسه,نوع_شناسه,نوع_شناسه,نوع_شناسه,جۆر_ناسنامە,جۆر_ناسنامە,شناسه_نوع,تىپ_كىملىكى,معرف_نوع,معرف_نوع,معرف_نوع,معرف_نوع,شناسه_نوع,شناسه_نوع,معرف_نوع,معرف_نوع,شناسه_نوع,شناسه_نوع,شناسه_نوع,شناسه_نوع,شناسه_نوع,شناسه_نوع,تايپ_آئي_ڊي,شناسه_نوع,تىپ_كىملىكى,تىپ_كىملىكى,تىپ_كىملىكى,معرف_نوع,معرف_نوع,အမျိုးအစား_ID
typename,definition,اسم_نوع,نام_نوع,نام_نوع,نام_نوع,نام_نوع,نالو_قسم,نام_نوع,نالو_قسم,نام_نوع,نام_نوع,نام_نوع,نام_نوع,نام_نوع,نام_نوع,نام_نوع,ناوى_جۆر,ناوى_جۆر,نام_نوع,تىپ_نامى,اسم_نوع,اسم_نوع,اسم_نوع,اسم_نوع,نام_نوع,نام_نوع,اسم_نوع,اسم_نوع,نام_نوع,نام_نوع,نام_نوع,نام_نوع,نام_نوع,نام_نوع,تايپ_نيم,نام_نوع,تىپ_نامى,تىپ_نامى,تىپ_نامى,اسم_نوع,اسم_نوع,အမျိုးအစား_အမည်
union,definition,اتحاد,یونین,اتحاد,اتحاد,اتحاد,يونين,یونین,يونين,اتحاد,اتحاد,یونین,یونین,یونین,یونین,یونین,یەکگرتن,یەکگرتن,اتحاد,بىرلەشمە,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,اتحاد,يونين,اتحاد,بىرلەشمە,بىرلەشمە,بىرلەشمە,اتحاد,اتحاد,ပေါင်းစည်း
using,definition,استخدام,استعمال,استفاده,استفاده,استفاده,استعمال,استعمال,استعمال,استفاده,استفاده,استعمال,استعمال,استعمال,استعمال,استعمال,بەکارھێنان,بەکارھێنان,استفاده,ئىشلىتىش,استخدام,استخدام,استخدام,استخدام,استفاده,استفاده,استخدام,استخدام,استفاده,استفاده,استفاده,استفاده,استفاده,استفاده,يوزنگ,استفاده,ئىشلىتىش,ئىشلىتىش,ئىشلىتىش,استخدام,استخدام,အသုံး
virtual,qualifier,افتراضي,مجازی,مجازی,مجازی,مجازی,مجازي,مجازی,مجازي,مجازی,مجازی,مجازی,مجازی,مجازی,مجازی,مجازی,مەجازی,مەجازی,مجازی,ۋىرتۇئال,افتراضي,افتراضي,افتراضي,افتراضي,مجازی,مجازی,افتراضي,افتراضي,مجازی,مجازی,مجازی,مجازی,مجازی,مجازی,ورچوئل,مجازی,ۋىرتۇئال,ۋىرتۇئال,ۋىرتۇئال,افتراضي,افتراضي,အတု
void,type,فارغ,خالی,تهی,تهی,تهی,خالي,خالی,خالي,تهی,تهی,خالی,خالی,خالی,خالی,خالی,بەتاڵ,بەتاڵ,تهی,بوش,فارغ,فارغ,فارغ,فارغ,تهی,تهی,فارغ,فارغ,تهی,تهی,تهی,تهی,تهی,تهی,ڤويد,تهی,بوش,بوش,بوش,فارغ,فارغ,အလွတ်
volatile,qualifier,متقلب,متغیر,ناپایدار,ناپایدار,ناپایدار,متغير,متغیر,متغير,ناپایدار,ناپایدار,متغیر,متغیر,متغیر,متغیر,متغیر,گۆڕاو,گۆڕاو,ناپایدار,ئۆزگىرىشچان,متقلب,متقلب,متقلب,متقلب,ناپایدار,ناپایدار,متقلب,متقلب,ناپایدار,ناپایدار,ناپایدار,ناپایدار,ناپایدار,ناپایدار,ڤولاتايل,ناپایدار,ئۆزگىرىشچان,ئۆزگىرىشچان,ئۆزگىرىشچان,متقلب,متقلب,မတည်ငြိမ်
wchar_t,type,حرف_واسع,وسیع_حرف,کاراکتر_وسیع,کاراکتر_وسیع,کاراکتر_وسیع,اکر_وڏو,وسیع_حرف,اکر_وڏو,کاراکتر_وسیع,کاراکتر_وسیع,وسیع_حرف,وسیع_حرف,وسیع_حرف,وسیع_حرف,وسیع_حرف,پیت_پهن,پیت_پهن,کاراکتر_وسیع,كېڭ_ھەرپ,حرف_واسع,حرف_واسع,حرف_واسع,حرف_واسع,کاراکتر_وسیع,کاراکتر_وسیع,حرف_واسع,حرف_واسع,کاراکتر_وسیع,کاراکتر_وسیع,کاراکتر_وسیع,کاراکتر_وسیع,کاراکتر_وسیع,کاراکتر_وسیع,واچار,کاراکتر_وسیع,كېڭ_ھەرپ,كېڭ_ھەرپ,كېڭ_ھەرپ,حرف_واسع,حرف_واسع,အက္ခရာကြီး
while,control,بينما,جب_تك,تا_زمانی_که,تا_زمانی_که,تا_زمانی_که,جيستائين,جب_تك,جيستائين,تا_زمانی_که,تا_زمانی_که,جب_تك,جب_تك,جب_تك,جب_تك,جب_تك,کاتێک,کاتێک,تا,قەدەر,بينما,بينما,بينما,بينما,تا,تا,بينما,بينما,تا,تا,تا,تا,تا,تا,سلمان,تا,قەدەر,قەدەر,قەدەر,بينما,بينما,အထိ
